item_id,order_id,product_id,quantity,unit_price_x,unit_cost_x,line_subtotal,line_cost,customer_id,order_date,order_date_only,order_status,payment_method,subtotal,discount_amount,shipping_fee,total_amount,total_cost,gross_profit,order_sequence,first_name,email,signup_date,region,acquisition_channel,product_name,category,unit_price_y,unit_cost_y,margin_percentage
ITEM-0000001,ORD-000001,404,1,64.99,21.0,64.99,21.0,CUST-00001,2025-02-18 00:00:00,2025-02-18,Completed,Credit Card,64.99,0.0,0.0,64.99,21.0,43.99,1,User1,user1@example.com,2025-02-13,North America,Paid Search,Sonic Electric Toothbrush + 3 Heads,Health & Beauty,64.99,21.0,67.69
ITEM-0000002,ORD-000002,105,1,39.99,12.0,39.99,12.0,CUST-00002,2024-08-15 00:00:00,2024-08-15,Completed,Debit Card,99.98,0.0,4.99,104.97,32.0,67.98,1,User2,user2@example.com,2024-08-14,Latin America,Referral,USB-C Multi-Port Hub Adapter,Electronics,39.99,12.0,69.99
ITEM-0000003,ORD-000002,305,1,59.99,20.0,59.99,20.0,CUST-00002,2024-08-15 00:00:00,2024-08-15,Completed,Debit Card,99.98,0.0,4.99,104.97,32.0,67.98,1,User2,user2@example.com,2024-08-14,Latin America,Referral,Stainless Steel Chef Knife 8-inch,Home & Kitchen,59.99,20.0,66.66
ITEM-0000004,ORD-000003,106,1,179.99,70.0,179.99,70.0,CUST-00003,2024-10-21 00:00:00,2024-10-21,Completed,PayPal,179.99,9.0,0.0,170.99,70.0,100.99,1,User3,user3@example.com,2024-10-21,North America,Paid Search,Smart Fitness Watch Gen 4,Electronics,179.99,70.0,61.11
ITEM-0000005,ORD-000004,501,1,42.0,13.0,42.0,13.0,CUST-00003,2024-12-17 00:00:00,2024-12-17,Completed,Credit Card,71.99,14.4,0.0,57.59,21.0,36.59,2,User3,user3@example.com,2024-10-21,North America,Paid Search,Eco-Friendly High Density Yoga Mat,Sports & Outdoors,42.0,13.0,69.05
ITEM-0000006,ORD-000004,307,1,29.99,8.0,29.99,8.0,CUST-00003,2024-12-17 00:00:00,2024-12-17,Completed,Credit Card,71.99,14.4,0.0,57.59,21.0,36.59,2,User3,user3@example.com,2024-10-21,North America,Paid Search,Insulated Vacuum Water Bottle 32oz,Home & Kitchen,29.99,8.0,73.32
ITEM-0000007,ORD-000005,204,2,24.0,6.0,48.0,12.0,CUST-00003,2025-01-07 00:00:00,2025-01-07,Completed,Credit Card,107.99000000000001,0.0,0.0,107.99,34.0,73.99,3,User3,user3@example.com,2024-10-21,North America,Paid Search,Thermal Merino Wool Socks (3-Pack),Apparel,24.0,6.0,75.0
ITEM-0000008,ORD-000005,107,1,59.99,22.0,59.99,22.0,CUST-00003,2025-01-07 00:00:00,2025-01-07,Completed,Credit Card,107.99000000000001,0.0,0.0,107.99,34.0,73.99,3,User3,user3@example.com,2024-10-21,North America,Paid Search,Portable Bluetooth Speaker Waterproof,Electronics,59.99,22.0,63.33
ITEM-0000009,ORD-000006,102,1,49.99,18.0,49.99,18.0,CUST-00004,2024-12-17 00:00:00,2024-12-17,Completed,Debit Card,82.49000000000001,16.5,0.0,65.99,28.0,37.99,1,User4,user4@example.com,2024-12-16,Asia Pacific,Paid Search,Ultra Ergonomic Wireless Mouse,Electronics,49.99,18.0,63.99
ITEM-0000010,ORD-000006,306,1,32.5,10.0,32.5,10.0,CUST-00004,2024-12-17 00:00:00,2024-12-17,Completed,Debit Card,82.49000000000001,16.5,0.0,65.99,28.0,37.99,1,User4,user4@example.com,2024-12-16,Asia Pacific,Paid Search,Aroma Ultrasonic Essential Oil Diffuser,Home & Kitchen,32.5,10.0,69.23
ITEM-0000011,ORD-000007,304,1,39.99,14.0,39.99,14.0,CUST-00005,2024-07-21 00:00:00,2024-07-21,Completed,Credit Card,39.99,8.0,0.0,31.99,14.0,17.99,1,User5,user5@example.com,2024-07-17,North America,Email Marketing,Cast Iron Pre-Seasoned Skillet 10in,Home & Kitchen,39.99,14.0,64.99
ITEM-0000012,ORD-000008,505,1,75.0,24.0,75.0,24.0,CUST-00005,2024-08-08 00:00:00,2024-08-08,Cancelled,PayPal,75.0,0.0,0.0,75.0,24.0,51.0,2,User5,user5@example.com,2024-07-17,North America,Email Marketing,High-Capacity Hydration Running Vest,Sports & Outdoors,75.0,24.0,68.0
ITEM-0000013,ORD-000009,204,1,24.0,6.0,24.0,6.0,CUST-00005,2024-11-02 00:00:00,2024-11-02,Completed,PayPal,72.0,0.0,0.0,72.0,21.0,51.0,3,User5,user5@example.com,2024-07-17,North America,Email Marketing,Thermal Merino Wool Socks (3-Pack),Apparel,24.0,6.0,75.0
ITEM-0000014,ORD-000009,503,1,48.0,15.0,48.0,15.0,CUST-00005,2024-11-02 00:00:00,2024-11-02,Completed,PayPal,72.0,0.0,0.0,72.0,21.0,51.0,3,User5,user5@example.com,2024-07-17,North America,Email Marketing,Collapsible Lightweight Trekking Poles,Sports & Outdoors,48.0,15.0,68.75
ITEM-0000015,ORD-000010,105,1,39.99,12.0,39.99,12.0,CUST-00005,2025-01-08 00:00:00,2025-01-08,Completed,PayPal,61.99,6.2,4.99,60.78,17.2,38.59,4,User5,user5@example.com,2024-07-17,North America,Email Marketing,USB-C Multi-Port Hub Adapter,Electronics,39.99,12.0,69.99
ITEM-0000016,ORD-000010,403,1,22.0,5.2,22.0,5.2,CUST-00005,2025-01-08 00:00:00,2025-01-08,Completed,PayPal,61.99,6.2,4.99,60.78,17.2,38.59,4,User5,user5@example.com,2024-07-17,North America,Email Marketing,Mineral SPF 50 Broad Spectrum Sunscreen,Health & Beauty,22.0,5.2,76.36
ITEM-0000017,ORD-000011,102,1,49.99,18.0,49.99,18.0,CUST-00005,2025-03-03 00:00:00,2025-03-03,Completed,Buy Now Pay Later,73.99000000000001,0.0,0.0,73.99,24.0,49.99,5,User5,user5@example.com,2024-07-17,North America,Email Marketing,Ultra Ergonomic Wireless Mouse,Electronics,49.99,18.0,63.99
ITEM-0000018,ORD-000011,204,1,24.0,6.0,24.0,6.0,CUST-00005,2025-03-03 00:00:00,2025-03-03,Completed,Buy Now Pay Later,73.99000000000001,0.0,0.0,73.99,24.0,49.99,5,User5,user5@example.com,2024-07-17,North America,Email Marketing,Thermal Merino Wool Socks (3-Pack),Apparel,24.0,6.0,75.0
ITEM-0000019,ORD-000012,305,1,59.99,20.0,59.99,20.0,CUST-00005,2025-04-17 00:00:00,2025-04-17,Completed,Credit Card,59.99,0.0,0.0,59.99,20.0,39.99,6,User5,user5@example.com,2024-07-17,North America,Email Marketing,Stainless Steel Chef Knife 8-inch,Home & Kitchen,59.99,20.0,66.66
ITEM-0000020,ORD-000013,206,1,45.0,11.0,45.0,11.0,CUST-00005,2025-05-05 00:00:00,2025-05-05,Completed,Credit Card,69.0,0.0,9.99,78.99,17.0,52.0,7,User5,user5@example.com,2024-07-17,North America,Email Marketing,All-Weather Polarized Sunglasses,Apparel,45.0,11.0,75.56
ITEM-0000021,ORD-000013,204,1,24.0,6.0,24.0,6.0,CUST-00005,2025-05-05 00:00:00,2025-05-05,Completed,Credit Card,69.0,0.0,9.99,78.99,17.0,52.0,7,User5,user5@example.com,2024-07-17,North America,Email Marketing,Thermal Merino Wool Socks (3-Pack),Apparel,24.0,6.0,75.0
ITEM-0000022,ORD-000014,107,1,59.99,22.0,59.99,22.0,CUST-00005,2025-06-30 00:00:00,2025-06-30,Completed,Buy Now Pay Later,89.98,0.0,0.0,89.98,31.5,58.48,8,User5,user5@example.com,2024-07-17,North America,Email Marketing,Portable Bluetooth Speaker Waterproof,Electronics,59.99,22.0,63.33
ITEM-0000023,ORD-000014,108,1,29.99,9.5,29.99,9.5,CUST-00005,2025-06-30 00:00:00,2025-06-30,Completed,Buy Now Pay Later,89.98,0.0,0.0,89.98,31.5,58.48,8,User5,user5@example.com,2024-07-17,North America,Email Marketing,High-Speed MagSafe Wireless Charger,Electronics,29.99,9.5,68.32
ITEM-0000024,ORD-000015,108,2,29.99,9.5,59.98,19.0,CUST-00005,2025-08-18 00:00:00,2025-08-18,Completed,Credit Card,59.98,12.0,0.0,47.98,19.0,28.98,9,User5,user5@example.com,2024-07-17,North America,Email Marketing,High-Speed MagSafe Wireless Charger,Electronics,29.99,9.5,68.32
ITEM-0000025,ORD-000016,307,1,29.99,8.0,29.99,8.0,CUST-00005,2025-09-11 00:00:00,2025-09-11,Completed,Credit Card,97.99,0.0,0.0,97.99,30.0,67.99,10,User5,user5@example.com,2024-07-17,North America,Email Marketing,Insulated Vacuum Water Bottle 32oz,Home & Kitchen,29.99,8.0,73.32
ITEM-0000026,ORD-000016,202,1,68.0,22.0,68.0,22.0,CUST-00005,2025-09-11 00:00:00,2025-09-11,Completed,Credit Card,97.99,0.0,0.0,97.99,30.0,67.99,10,User5,user5@example.com,2024-07-17,North America,Email Marketing,Slim Fit Stretch Denim Jeans,Apparel,68.0,22.0,67.65
ITEM-0000027,ORD-000017,106,2,179.99,70.0,359.98,140.0,CUST-00005,2025-11-09 00:00:00,2025-11-09,Completed,PayPal,739.96,37.0,7.99,710.95,324.5,378.46,11,User5,user5@example.com,2024-07-17,North America,Email Marketing,Smart Fitness Watch Gen 4,Electronics,179.99,70.0,61.11
ITEM-0000028,ORD-000017,108,1,29.99,9.5,29.99,9.5,CUST-00005,2025-11-09 00:00:00,2025-11-09,Completed,PayPal,739.96,37.0,7.99,710.95,324.5,378.46,11,User5,user5@example.com,2024-07-17,North America,Email Marketing,High-Speed MagSafe Wireless Charger,Electronics,29.99,9.5,68.32
ITEM-0000029,ORD-000017,104,1,349.99,175.0,349.99,175.0,CUST-00005,2025-11-09 00:00:00,2025-11-09,Completed,PayPal,739.96,37.0,7.99,710.95,324.5,378.46,11,User5,user5@example.com,2024-07-17,North America,Email Marketing,4K Ultra-HD Monitor 27-inch,Electronics,349.99,175.0,50.0
ITEM-0000030,ORD-000018,401,1,26.0,6.0,26.0,6.0,CUST-00006,2024-04-28 00:00:00,2024-04-28,Completed,Credit Card,48.0,0.0,0.0,48.0,11.2,36.8,1,User6,user6@example.com,2024-04-26,North America,Paid Search,Hydrating Hyaluronic Acid Serum,Health & Beauty,26.0,6.0,76.92
ITEM-0000031,ORD-000018,403,1,22.0,5.2,22.0,5.2,CUST-00006,2024-04-28 00:00:00,2024-04-28,Completed,Credit Card,48.0,0.0,0.0,48.0,11.2,36.8,1,User6,user6@example.com,2024-04-26,North America,Paid Search,Mineral SPF 50 Broad Spectrum Sunscreen,Health & Beauty,22.0,5.2,76.36
ITEM-0000032,ORD-000019,304,1,39.99,14.0,39.99,14.0,CUST-00007,2025-09-04 00:00:00,2025-09-04,Completed,Credit Card,56.980000000000004,0.0,0.0,56.98,18.2,38.78,1,User7,user7@example.com,2025-09-01,Europe,Paid Search,Cast Iron Pre-Seasoned Skillet 10in,Home & Kitchen,39.99,14.0,64.99
ITEM-0000033,ORD-000019,504,1,16.99,4.2,16.99,4.2,CUST-00007,2025-09-04 00:00:00,2025-09-04,Completed,Credit Card,56.980000000000004,0.0,0.0,56.98,18.2,38.78,1,User7,user7@example.com,2025-09-01,Europe,Paid Search,Quick-Dry Microfiber Camp Towel,Sports & Outdoors,16.99,4.2,75.28
ITEM-0000034,ORD-000020,103,2,89.99,36.0,179.98,72.0,CUST-00007,2025-11-01 00:00:00,2025-11-01,Completed,Buy Now Pay Later,209.97,41.99,7.99,175.97,81.5,86.48,2,User7,user7@example.com,2025-09-01,Europe,Paid Search,Mechanical Gaming Keyboard,Electronics,89.99,36.0,60.0
ITEM-0000035,ORD-000020,108,1,29.99,9.5,29.99,9.5,CUST-00007,2025-11-01 00:00:00,2025-11-01,Completed,Buy Now Pay Later,209.97,41.99,7.99,175.97,81.5,86.48,2,User7,user7@example.com,2025-09-01,Europe,Paid Search,High-Speed MagSafe Wireless Charger,Electronics,29.99,9.5,68.32
ITEM-0000036,ORD-000021,107,2,59.99,22.0,119.98,44.0,CUST-00007,2025-12-07 00:00:00,2025-12-07,Completed,Buy Now Pay Later,408.98,81.8,0.0,327.18,174.0,153.18,3,User7,user7@example.com,2025-09-01,Europe,Paid Search,Portable Bluetooth Speaker Waterproof,Electronics,59.99,22.0,63.33
ITEM-0000037,ORD-000021,301,1,289.0,130.0,289.0,130.0,CUST-00007,2025-12-07 00:00:00,2025-12-07,Completed,Buy Now Pay Later,408.98,81.8,0.0,327.18,174.0,153.18,3,User7,user7@example.com,2025-09-01,Europe,Paid Search,Precision Barista Espresso Machine,Home & Kitchen,289.0,130.0,55.02
ITEM-0000038,ORD-000022,103,1,89.99,36.0,89.99,36.0,CUST-00007,2025-12-27 00:00:00,2025-12-27,Completed,PayPal,453.99,45.4,7.99,416.58,190.0,218.59,4,User7,user7@example.com,2025-09-01,Europe,Paid Search,Mechanical Gaming Keyboard,Electronics,89.99,36.0,60.0
ITEM-0000039,ORD-000022,505,1,75.0,24.0,75.0,24.0,CUST-00007,2025-12-27 00:00:00,2025-12-27,Completed,PayPal,453.99,45.4,7.99,416.58,190.0,218.59,4,User7,user7@example.com,2025-09-01,Europe,Paid Search,High-Capacity Hydration Running Vest,Sports & Outdoors,75.0,24.0,68.0
ITEM-0000040,ORD-000022,301,1,289.0,130.0,289.0,130.0,CUST-00007,2025-12-27 00:00:00,2025-12-27,Completed,PayPal,453.99,45.4,7.99,416.58,190.0,218.59,4,User7,user7@example.com,2025-09-01,Europe,Paid Search,Precision Barista Espresso Machine,Home & Kitchen,289.0,130.0,55.02
ITEM-0000041,ORD-000023,503,2,48.0,15.0,96.0,30.0,CUST-00008,2024-08-23 00:00:00,2024-08-23,Completed,PayPal,431.99,0.0,9.99,441.98,171.5,260.49,1,User8,user8@example.com,2024-08-19,North America,Paid Search,Collapsible Lightweight Trekking Poles,Sports & Outdoors,48.0,15.0,68.75
ITEM-0000042,ORD-000023,502,1,22.99,5.5,22.99,5.5,CUST-00008,2024-08-23 00:00:00,2024-08-23,Completed,PayPal,431.99,0.0,9.99,441.98,171.5,260.49,1,User8,user8@example.com,2024-08-19,North America,Paid Search,Adjustable Resistance Fitness Bands Set,Sports & Outdoors,22.99,5.5,76.08
ITEM-0000043,ORD-000023,301,1,289.0,130.0,289.0,130.0,CUST-00008,2024-08-23 00:00:00,2024-08-23,Completed,PayPal,431.99,0.0,9.99,441.98,171.5,260.49,1,User8,user8@example.com,2024-08-19,North America,Paid Search,Precision Barista Espresso Machine,Home & Kitchen,289.0,130.0,55.02
ITEM-0000044,ORD-000023,204,1,24.0,6.0,24.0,6.0,CUST-00008,2024-08-23 00:00:00,2024-08-23,Completed,PayPal,431.99,0.0,9.99,441.98,171.5,260.49,1,User8,user8@example.com,2024-08-19,North America,Paid Search,Thermal Merino Wool Socks (3-Pack),Apparel,24.0,6.0,75.0
ITEM-0000045,ORD-000024,103,3,89.99,36.0,269.97,108.0,CUST-00009,2024-05-04 00:00:00,2024-05-04,Cancelled,Buy Now Pay Later,269.97,0.0,0.0,269.97,108.0,161.97,1,User9,user9@example.com,2024-05-02,North America,Organic Search,Mechanical Gaming Keyboard,Electronics,89.99,36.0,60.0
ITEM-0000046,ORD-000025,101,1,199.99,85.0,199.99,85.0,CUST-00010,2024-10-14 00:00:00,2024-10-14,Completed,Debit Card,199.99,0.0,9.99,209.98,85.0,114.99,1,User10,user10@example.com,2024-10-09,North America,Organic Search,Pro Noise-Cancelling Headphones,Electronics,199.99,85.0,57.5
