customer_id,first_name,email,signup_date,region,acquisition_channel
CUST-00001,User1,user1@example.com,2025-02-13,North America,Paid Search
CUST-00002,User2,user2@example.com,2024-08-14,Latin America,Referral
CUST-00003,User3,user3@example.com,2024-10-21,North America,Paid Search
CUST-00004,User4,user4@example.com,2024-12-16,Asia Pacific,Paid Search
CUST-00005,User5,user5@example.com,2024-07-17,North America,Email Marketing
CUST-00006,User6,user6@example.com,2024-04-26,North America,Paid Search
CUST-00007,User7,user7@example.com,2025-09-01,Europe,Paid Search
CUST-00008,User8,user8@example.com,2024-08-19,North America,Paid Search
CUST-00009,User9,user9@example.com,2024-05-02,North America,Organic Search
CUST-00010,User10,user10@example.com,2024-10-09,North America,Organic Search
CUST-00011,User11,user11@example.com,2024-08-25,North America,Organic Search
CUST-00012,User12,user12@example.com,2025-01-29,Europe,Social Media
CUST-00013,User13,user13@example.com,2024-05-21,North America,Paid Search
CUST-00014,User14,user14@example.com,2024-02-07,North America,Organic Search
CUST-00015,User15,user15@example.com,2024-08-17,Europe,Referral
CUST-00016,User16,user16@example.com,2025-04-22,North America,Paid Search
CUST-00017,User17,user17@example.com,2024-11-15,North America,Paid Search
CUST-00018,User18,user18@example.com,2025-02-11,Europe,Organic Search
CUST-00019,User19,user19@example.com,2024-01-29,Europe,Organic Search
CUST-00020,User20,user20@example.com,2025-03-01,Europe,Email Marketing
CUST-00021,User21,user21@example.com,2025-01-10,North America,Social Media
CUST-00022,User22,user22@example.com,2024-05-26,North America,Paid Search
CUST-00023,User23,user23@example.com,2024-02-27,Europe,Organic Search
CUST-00024,User24,user24@example.com,2025-01-21,Asia Pacific,Paid Search
CUST-00025,User25,user25@example.com,2024-07-11,North America,Referral
CUST-00026,User26,user26@example.com,2024-02-03,Asia Pacific,Referral
CUST-00027,User27,user27@example.com,2024-06-11,Europe,Paid Search
CUST-00028,User28,user28@example.com,2025-06-27,North America,Social Media
CUST-00029,User29,user29@example.com,2025-08-08,Europe,Social Media
CUST-00030,User30,user30@example.com,2024-05-29,North America,Referral
CUST-00031,User31,user31@example.com,2024-06-03,North America,Social Media
CUST-00032,User32,user32@example.com,2024-12-01,Latin America,Email Marketing
CUST-00033,User33,user33@example.com,2025-01-30,North America,Organic Search
CUST-00034,User34,user34@example.com,2024-07-25,Europe,Social Media
CUST-00035,User35,user35@example.com,2025-05-29,Europe,Social Media
CUST-00036,User36,user36@example.com,2025-06-17,Asia Pacific,Organic Search
CUST-00037,User37,user37@example.com,2024-09-11,Asia Pacific,Organic Search
CUST-00038,User38,user38@example.com,2025-04-23,Europe,Paid Search
CUST-00039,User39,user39@example.com,2024-05-02,Asia Pacific,Paid Search
CUST-00040,User40,user40@example.com,2025-01-30,Latin America,Organic Search
CUST-00041,User41,user41@example.com,2024-04-25,North America,Email Marketing
CUST-00042,User42,user42@example.com,2024-03-07,North America,Organic Search
CUST-00043,User43,user43@example.com,2024-02-22,Europe,Social Media
CUST-00044,User44,user44@example.com,2025-02-01,North America,Paid Search
CUST-00045,User45,user45@example.com,2024-10-03,Europe,Organic Search
CUST-00046,User46,user46@example.com,2024-03-21,North America,Organic Search
CUST-00047,User47,user47@example.com,2025-04-21,North America,Social Media
CUST-00048,User48,user48@example.com,2025-01-27,Europe,Organic Search
CUST-00049,User49,user49@example.com,2024-07-27,North America,Paid Search
CUST-00050,User50,user50@example.com,2024-07-15,North America,Referral
CUST-00051,User51,user51@example.com,2025-04-23,Europe,Referral
CUST-00052,User52,user52@example.com,2025-05-22,North America,Organic Search
CUST-00053,User53,user53@example.com,2025-03-02,Europe,Social Media
CUST-00054,User54,user54@example.com,2024-07-16,Asia Pacific,Organic Search
CUST-00055,User55,user55@example.com,2025-01-16,Europe,Organic Search
CUST-00056,User56,user56@example.com,2025-09-24,Asia Pacific,Paid Search
CUST-00057,User57,user57@example.com,2025-03-08,North America,Paid Search
CUST-00058,User58,user58@example.com,2024-08-25,Europe,Paid Search
CUST-00059,User59,user59@example.com,2024-07-15,North America,Organic Search
CUST-00060,User60,user60@example.com,2024-03-28,Europe,Organic Search
CUST-00061,User61,user61@example.com,2025-04-21,North America,Paid Search
CUST-00062,User62,user62@example.com,2025-01-24,North America,Paid Search
CUST-00063,User63,user63@example.com,2024-12-09,Latin America,Organic Search
CUST-00064,User64,user64@example.com,2024-03-27,Asia Pacific,Paid Search
CUST-00065,User65,user65@example.com,2025-10-08,North America,Organic Search
CUST-00066,User66,user66@example.com,2024-09-25,Latin America,Referral
CUST-00067,User67,user67@example.com,2025-01-01,North America,Social Media
CUST-00068,User68,user68@example.com,2024-07-10,North America,Paid Search
CUST-00069,User69,user69@example.com,2024-12-19,Latin America,Referral
CUST-00070,User70,user70@example.com,2025-07-07,Europe,Organic Search
CUST-00071,User71,user71@example.com,2024-07-28,Asia Pacific,Organic Search
CUST-00072,User72,user72@example.com,2025-05-15,Europe,Social Media
CUST-00073,User73,user73@example.com,2024-05-29,North America,Email Marketing
CUST-00074,User74,user74@example.com,2024-03-01,Asia Pacific,Email Marketing
CUST-00075,User75,user75@example.com,2025-11-13,Latin America,Organic Search
CUST-00076,User76,user76@example.com,2024-11-12,North America,Paid Search
CUST-00077,User77,user77@example.com,2025-01-11,North America,Social Media
CUST-00078,User78,user78@example.com,2024-08-12,North America,Organic Search
CUST-00079,User79,user79@example.com,2024-03-13,Asia Pacific,Social Media
CUST-00080,User80,user80@example.com,2024-07-27,North America,Paid Search
CUST-00081,User81,user81@example.com,2025-04-21,Europe,Paid Search
CUST-00082,User82,user82@example.com,2025-05-11,North America,Organic Search
CUST-00083,User83,user83@example.com,2025-07-14,North America,Paid Search
CUST-00084,User84,user84@example.com,2024-03-05,Asia Pacific,Organic Search
CUST-00085,User85,user85@example.com,2024-09-16,North America,Paid Search
CUST-00086,User86,user86@example.com,2024-09-27,North America,Paid Search
CUST-00087,User87,user87@example.com,2024-09-16,North America,Referral
CUST-00088,User88,user88@example.com,2024-12-26,Asia Pacific,Paid Search
CUST-00089,User89,user89@example.com,2024-10-05,North America,Social Media
CUST-00090,User90,user90@example.com,2025-01-20,North America,Social Media
CUST-00091,User91,user91@example.com,2025-05-23,North America,Paid Search
CUST-00092,User92,user92@example.com,2024-05-09,Europe,Organic Search
CUST-00093,User93,user93@example.com,2025-03-07,North America,Social Media
CUST-00094,User94,user94@example.com,2024-07-20,Asia Pacific,Paid Search
CUST-00095,User95,user95@example.com,2025-03-14,North America,Referral
CUST-00096,User96,user96@example.com,2024-05-14,North America,Social Media
CUST-00097,User97,user97@example.com,2025-01-30,Asia Pacific,Social Media
CUST-00098,User98,user98@example.com,2024-09-15,Asia Pacific,Social Media
CUST-00099,User99,user99@example.com,2024-10-29,North America,Social Media
CUST-00100,User100,user100@example.com,2025-04-09,Asia Pacific,Paid Search
CUST-00101,User101,user101@example.com,2025-03-04,North America,Social Media
CUST-00102,User102,user102@example.com,2025-01-10,North America,Paid Search
CUST-00103,User103,user103@example.com,2024-01-15,North America,Social Media
CUST-00104,User104,user104@example.com,2024-09-22,Europe,Social Media
CUST-00105,User105,user105@example.com,2024-05-05,North America,Social Media
CUST-00106,User106,user106@example.com,2024-07-16,Asia Pacific,Paid Search
CUST-00107,User107,user107@example.com,2024-07-07,North America,Organic Search
CUST-00108,User108,user108@example.com,2025-12-08,North America,Social Media
CUST-00109,User109,user109@example.com,2025-06-20,Europe,Organic Search
CUST-00110,User110,user110@example.com,2025-11-15,Europe,Paid Search
CUST-00111,User111,user111@example.com,2024-03-13,Europe,Paid Search
CUST-00112,User112,user112@example.com,2024-04-07,Asia Pacific,Organic Search
CUST-00113,User113,user113@example.com,2024-02-23,North America,Referral
CUST-00114,User114,user114@example.com,2024-01-11,North America,Paid Search
CUST-00115,User115,user115@example.com,2024-02-23,North America,Referral
CUST-00116,User116,user116@example.com,2024-05-27,Europe,Referral
